$  1.00$ & $1.0000$ & $1.0000$ & $1.0000$ & $1.0000$ & $1.0000$ & $1.0000$  \\
$  1.05$ & $0.9531$ & $1.1196$ & $1.0840$ & $1.0328$ & $0.9999$ & $1.0001$  \\
$  1.10$ & $0.9118$ & $1.2450$ & $1.1691$ & $1.0649$ & $0.9989$ & $1.0011$  \\
$  1.15$ & $0.8750$ & $1.3763$ & $1.2550$ & $1.0966$ & $0.9967$ & $1.0033$  \\
$  1.20$ & $0.8422$ & $1.5133$ & $1.3416$ & $1.1280$ & $0.9928$ & $1.0073$  \\
$  1.25$ & $0.8126$ & $1.6563$ & $1.4286$ & $1.1594$ & $0.9871$ & $1.0131$  \\
$  1.30$ & $0.7860$ & $1.8050$ & $1.5157$ & $1.1909$ & $0.9794$ & $1.0211$  \\
$  1.35$ & $0.7618$ & $1.9596$ & $1.6028$ & $1.2226$ & $0.9697$ & $1.0312$  \\
$  1.40$ & $0.7397$ & $2.1200$ & $1.6897$ & $1.2547$ & $0.9582$ & $1.0436$  \\
$  1.45$ & $0.7196$ & $2.2863$ & $1.7761$ & $1.2872$ & $0.9448$ & $1.0584$  \\
$  1.50$ & $0.7011$ & $2.4583$ & $1.8621$ & $1.3202$ & $0.9298$ & $1.0755$  \\
$  1.55$ & $0.6841$ & $2.6363$ & $1.9473$ & $1.3538$ & $0.9132$ & $1.0951$  \\
$  1.60$ & $0.6684$ & $2.8200$ & $2.0317$ & $1.3880$ & $0.8952$ & $1.1171$  \\
$  1.65$ & $0.6540$ & $3.0096$ & $2.1152$ & $1.4228$ & $0.8760$ & $1.1416$  \\
$  1.70$ & $0.6405$ & $3.2050$ & $2.1977$ & $1.4583$ & $0.8557$ & $1.1686$  \\
$  1.75$ & $0.6281$ & $3.4063$ & $2.2791$ & $1.4946$ & $0.8346$ & $1.1982$  \\
$  1.80$ & $0.6165$ & $3.6133$ & $2.3592$ & $1.5316$ & $0.8127$ & $1.2305$  \\
$  1.85$ & $0.6057$ & $3.8263$ & $2.4381$ & $1.5693$ & $0.7902$ & $1.2655$  \\
$  1.90$ & $0.5956$ & $4.0450$ & $2.5157$ & $1.6079$ & $0.7674$ & $1.3032$  \\
$  1.95$ & $0.5862$ & $4.2696$ & $2.5919$ & $1.6473$ & $0.7442$ & $1.3437$  \\
$  2.00$ & $0.5774$ & $4.5000$ & $2.6667$ & $1.6875$ & $0.7209$ & $1.3872$  \\
$  2.05$ & $0.5691$ & $4.7363$ & $2.7400$ & $1.7285$ & $0.6975$ & $1.4337$  \\
$  2.10$ & $0.5613$ & $4.9783$ & $2.8119$ & $1.7705$ & $0.6742$ & $1.4832$  \\
$  2.15$ & $0.5540$ & $5.2263$ & $2.8823$ & $1.8132$ & $0.6511$ & $1.5360$  \\
$  2.20$ & $0.5471$ & $5.4800$ & $2.9512$ & $1.8569$ & $0.6281$ & $1.5920$  \\
$  2.25$ & $0.5406$ & $5.7396$ & $3.0186$ & $1.9014$ & $0.6055$ & $1.6514$  \\
$  2.30$ & $0.5344$ & $6.0050$ & $3.0845$ & $1.9468$ & $0.5833$ & $1.7144$  \\
$  2.35$ & $0.5286$ & $6.2763$ & $3.1490$ & $1.9931$ & $0.5615$ & $1.7810$  \\
$  2.40$ & $0.5231$ & $6.5533$ & $3.2119$ & $2.0403$ & $0.5401$ & $1.8514$  \\
$  2.45$ & $0.5179$ & $6.8363$ & $3.2733$ & $2.0885$ & $0.5193$ & $1.9256$  \\
$  2.50$ & $0.5130$ & $7.1250$ & $3.3333$ & $2.1375$ & $0.4990$ & $2.0039$  \\
$  2.55$ & $0.5083$ & $7.4196$ & $3.3919$ & $2.1875$ & $0.4793$ & $2.0865$  \\
$  2.60$ & $0.5039$ & $7.7200$ & $3.4490$ & $2.2383$ & $0.4601$ & $2.1733$  \\
$  2.65$ & $0.4996$ & $8.0263$ & $3.5047$ & $2.2902$ & $0.4416$ & $2.2647$  \\
$  2.70$ & $0.4956$ & $8.3383$ & $3.5590$ & $2.3429$ & $0.4236$ & $2.3608$  \\
$  2.75$ & $0.4918$ & $8.6563$ & $3.6119$ & $2.3966$ & $0.4062$ & $2.4617$  \\
$  2.80$ & $0.4882$ & $8.9800$ & $3.6636$ & $2.4512$ & $0.3895$ & $2.5676$  \\
$  2.85$ & $0.4847$ & $9.3096$ & $3.7139$ & $2.5067$ & $0.3733$ & $2.6788$  \\
$  2.90$ & $0.4814$ & $9.6450$ & $3.7629$ & $2.5632$ & $0.3577$ & $2.7954$  \\
$  2.95$ & $0.4782$ & $9.9863$ & $3.8106$ & $2.6206$ & $0.3428$ & $2.9176$  \\
$  3.00$ & $0.4752$ & $10.3333$ & $3.8571$ & $2.6790$ & $0.3283$ & $3.0456$  \\
$  3.05$ & $0.4723$ & $10.6863$ & $3.9025$ & $2.7383$ & $0.3145$ & $3.1796$  \\
$  3.10$ & $0.4695$ & $11.0450$ & $3.9466$ & $2.7986$ & $0.3012$ & $3.3199$  \\
$  3.15$ & $0.4669$ & $11.4096$ & $3.9896$ & $2.8598$ & $0.2885$ & $3.4667$  \\
$  3.20$ & $0.4643$ & $11.7800$ & $4.0315$ & $2.9220$ & $0.2762$ & $3.6202$  \\
$  3.25$ & $0.4619$ & $12.1563$ & $4.0723$ & $2.9851$ & $0.2645$ & $3.7806$  \\
$  3.30$ & $0.4596$ & $12.5383$ & $4.1120$ & $3.0492$ & $0.2533$ & $3.9483$  \\
$  3.35$ & $0.4573$ & $12.9263$ & $4.1507$ & $3.1142$ & $0.2425$ & $4.1234$  \\
$  3.40$ & $0.4552$ & $13.3200$ & $4.1884$ & $3.1802$ & $0.2322$ & $4.3062$  \\
$  3.45$ & $0.4531$ & $13.7196$ & $4.2251$ & $3.2472$ & $0.2224$ & $4.4969$  \\
$  3.50$ & $0.4512$ & $14.1250$ & $4.2609$ & $3.3151$ & $0.2129$ & $4.6960$  \\
$  3.55$ & $0.4492$ & $14.5363$ & $4.2957$ & $3.3839$ & $0.2039$ & $4.9036$  \\
$  3.60$ & $0.4474$ & $14.9533$ & $4.3296$ & $3.4537$ & $0.1953$ & $5.1200$  \\
$  3.65$ & $0.4456$ & $15.3763$ & $4.3627$ & $3.5245$ & $0.1871$ & $5.3456$  \\
$  3.70$ & $0.4439$ & $15.8050$ & $4.3949$ & $3.5962$ & $0.1792$ & $5.5806$  \\
$  3.75$ & $0.4423$ & $16.2396$ & $4.4262$ & $3.6689$ & $0.1717$ & $5.8253$  \\
$  3.80$ & $0.4407$ & $16.6800$ & $4.4568$ & $3.7426$ & $0.1645$ & $6.0801$  \\
$  3.85$ & $0.4392$ & $17.1263$ & $4.4866$ & $3.8172$ & $0.1576$ & $6.3454$  \\
$  3.90$ & $0.4377$ & $17.5783$ & $4.5156$ & $3.8928$ & $0.1510$ & $6.6213$  \\
$  3.95$ & $0.4363$ & $18.0363$ & $4.5439$ & $3.9694$ & $0.1448$ & $6.9084$  \\
$  4.00$ & $0.4350$ & $18.5000$ & $4.5714$ & $4.0469$ & $0.1388$ & $7.2069$  \\
$  4.05$ & $0.4336$ & $18.9696$ & $4.5983$ & $4.1254$ & $0.1330$ & $7.5172$  \\
$  4.10$ & $0.4324$ & $19.4450$ & $4.6245$ & $4.2048$ & $0.1276$ & $7.8397$  \\
$  4.15$ & $0.4311$ & $19.9263$ & $4.6500$ & $4.2852$ & $0.1223$ & $8.1747$  \\
$  4.20$ & $0.4299$ & $20.4133$ & $4.6749$ & $4.3666$ & $0.1173$ & $8.5227$  \\
$  4.25$ & $0.4288$ & $20.9063$ & $4.6992$ & $4.4489$ & $0.1126$ & $8.8840$  \\
$  4.30$ & $0.4277$ & $21.4050$ & $4.7229$ & $4.5322$ & $0.1080$ & $9.2591$  \\
$  4.35$ & $0.4266$ & $21.9096$ & $4.7460$ & $4.6165$ & $0.1036$ & $9.6484$  \\
$  4.40$ & $0.4255$ & $22.4200$ & $4.7685$ & $4.7017$ & $0.0995$ & $10.0522$  \\
$  4.45$ & $0.4245$ & $22.9363$ & $4.7904$ & $4.7879$ & $0.0955$ & $10.4711$  \\
$  4.50$ & $0.4236$ & $23.4583$ & $4.8119$ & $4.8751$ & $0.0917$ & $10.9054$  \\
$  4.55$ & $0.4226$ & $23.9863$ & $4.8328$ & $4.9632$ & $0.0881$ & $11.3556$  \\
$  4.60$ & $0.4217$ & $24.5200$ & $4.8532$ & $5.0523$ & $0.0846$ & $11.8222$  \\
$  4.65$ & $0.4208$ & $25.0596$ & $4.8731$ & $5.1424$ & $0.0813$ & $12.3057$  \\
$  4.70$ & $0.4199$ & $25.6050$ & $4.8926$ & $5.2334$ & $0.0781$ & $12.8065$  \\
$  4.75$ & $0.4191$ & $26.1563$ & $4.9116$ & $5.3254$ & $0.0750$ & $13.3251$  \\
$  4.80$ & $0.4183$ & $26.7133$ & $4.9301$ & $5.4184$ & $0.0721$ & $13.8620$  \\
$  4.85$ & $0.4175$ & $27.2763$ & $4.9482$ & $5.5124$ & $0.0694$ & $14.4177$  \\
$  4.90$ & $0.4167$ & $27.8450$ & $4.9659$ & $5.6073$ & $0.0667$ & $14.9928$  \\
$  4.95$ & $0.4160$ & $28.4196$ & $4.9831$ & $5.7032$ & $0.0642$ & $15.5878$  \\
$  5.00$ & $0.4152$ & $29.0000$ & $5.0000$ & $5.8000$ & $0.0617$ & $16.2032$  \\
